date | value
2023-01-09 | 44028234663852885981170418348451692544099999999999999999.0
2023-01-09 | 4b
2023-01-09 | 44
2015-01-022 | 10.2
2022-02-29 | 1000
2023-12-31 | 1001
2022-03-01 | -0.5
2013-03-15 || 1000
1999-12-31 | 10
2025-02-29 | 50
2022-06-45 | 100
2021-13-12 | 5
2017-09-10 | 9999999999
2010-09-19 | 0.06
2010--09-22 | 0.06
2010-09-25 | 0.06
2010-09-28 | 0.06
2010-10-01 | 0.06
2010-10-04 | 0.06
2010-10-07 | 0.06
2010-10-10 | 0.12
2022-01-01 | 2147483649
2023-06-21 | -3.5
2024-02-29 | 100
2022-11-15 | 1000.1
2023-02-30 | 1000.1
2009-01-02 | 100
2009-01-01 | 100
2026-01-01 | 100
2022-01-32 | 100
